workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax,1,2022-04-13T20:12:02.159726,435.24669885635376,0.7249000072479248,1.7641961574554443,23430,30.0,781,1649894572.338163,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2095.0760000000005,218788868096,207107145728,10328055808,5.3,11000136704,56184182272,914859084183,15283824750677,1,0.09,0.925807509427775,12198.0,11293.0,905.0,35.0,0.09,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,1,2022-04-13T20:12:20.357879,449.8216650485992,0.7353000640869141,1.745904803276062,24211,31.0,781,1649894572.338163,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2095.0760000000005,218788868096,206637232128,10798002176,5.6,11000136704,56184182272,914861318377,15283824781325,1,0.19,0.925807509427775,12198.0,11293.0,905.0,34.0,0.19,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:39:58.384835,0.3209362030029297,0.099600002169609,2.3089754581451416,0,0.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212115902464,5401186304,3.0,11000136704,56185190912,915508518049,15284279899347,1,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:40:21.369089,19.539320945739743,0.4561000168323517,1.5028337240219116,781,1.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212101021696,5416067072,3.1,11000136704,56185217536,915508525617,15284279903454,1,0.18,0.925807509427775,12198.0,11293.0,905.0,34.0,0.18,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:40:40.086220,34.291459798812866,0.5457000136375427,1.274952411651611,1562,2.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087959552,5428883456,3.1,11000136704,56185220608,915510746069,15284279953177,1,0.19,0.925807509427775,12198.0,11293.0,905.0,35.0,0.19,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:40:57.998049,48.67354083061218,0.5803000330924988,1.1694045066833496,2343,3.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087218176,5429379072,3.1,11000136704,56185220608,915512967285,15284280000567,1,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:41:15.845035,62.74130606651306,0.6267000436782837,1.060871958732605,3124,4.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088381440,5428707328,3.1,11000136704,56185294848,915515186617,15284280046398,1,0.18,0.925807509427775,12198.0,11293.0,905.0,35.0,0.18,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:41:34.341248,77.68274068832397,0.6484000086784363,1.0011191368103027,3905,5.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087427072,5429415936,3.1,11000136704,56185296384,915517405707,15284280095425,1,0.2,0.925807509427775,12198.0,11293.0,905.0,34.0,0.2,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:41:51.651047,91.50318551063538,0.6739000082015991,0.942908525466919,4686,6.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087205888,5429391360,3.1,11000136704,56185296384,915519628713,15284280146001,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:42:08.894182,105.26520895957948,0.6640000343322754,0.9748836159706116,5467,7.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088098816,5428989952,3.1,11000136704,56185297920,915521852867,15284280197950,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:42:26.613248,119.49231505393982,0.6830000281333923,0.9288622736930848,6248,8.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088098816,5428989952,3.1,11000136704,56185297920,915524074787,15284280245996,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:42:43.812097,133.21191883087158,0.7080000042915344,0.8656439185142517,7029,9.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087652352,5429190656,3.1,11000136704,56185297920,915526296559,15284280293261,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:43:01.882925,147.73668003082275,0.7122000455856323,0.876246988773346,7810,10.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087271424,5429325824,3.1,11000136704,56185297920,915528522697,15284280344938,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:43:19.481577,161.43230199813843,0.7192000150680542,0.8540026545524597,8591,11.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087046144,5430075392,3.1,11000136704,56185297920,915530749191,15284280398404,1,0.09,0.925807509427775,12198.0,11293.0,905.0,35.0,0.09,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:43:36.882067,175.29178285598755,0.7099000215530396,0.9173591136932372,9372,12.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088340480,5428748288,3.1,11000136704,56185297920,915532973495,15284280445203,1,0.18,0.925807509427775,12198.0,11293.0,905.0,35.0,0.18,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:43:54.536200,189.4165141582489,0.716200053691864,0.9332265257835388,10153,13.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088684544,5428404224,3.1,11000136704,56185297920,915535198031,15284280493859,1,0.22,0.925807509427775,12198.0,11293.0,905.0,35.0,0.22,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:44:11.832600,203.21701049804688,0.7184000611305237,0.9487646818161012,10934,14.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088029184,5429059584,3.1,11000136704,56185297920,915537426025,15284280545574,1,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:44:29.822702,217.6653957366944,0.7230000495910645,0.9861131310462952,11715,15.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212086718464,5430378496,3.1,11000136704,56185297920,915539654977,15284280597325,1,0.05,0.925807509427775,12198.0,11293.0,905.0,35.0,0.05,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:44:47.825926,232.12761855125427,0.7229000329971313,1.0460658073425293,12496,16.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087881728,5429207040,3.1,11000136704,56185297920,915541881789,15284280645729,1,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:45:06.227805,246.9801766872406,0.713100016117096,1.1365935802459717,13277,17.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088315904,5428527104,3.1,11000136704,56185319936,915544111124,15284280705449,1,0.21,0.925807509427775,12198.0,11293.0,905.0,35.0,0.21,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:45:24.706778,261.68513774871826,0.7160000205039978,1.2269887924194336,14058,18.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088115200,5428482048,3.1,11000136704,56185319936,915546337592,15284280757919,1,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0,0.23,0.925807509427775,12198.0,11293.0,905.0,35.0
cifar10_jax,5,2022-04-13T20:45:42.202743,275.3036334514618,0.7148000597953796,1.272976040840149,14839,19.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088680448,5428408320,3.1,11000136704,56185466880,915548564758,15284280811398,1,0.12,0.925807509427775,12198.0,11293.0,905.0,34.0,0.12,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:46:00.254058,289.8107225894928,0.7174000144004822,1.3477075099945068,15620,20.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087861248,5428981760,3.1,11000136704,56185466880,915550789974,15284280860727,1,0.13,0.925807509427775,12198.0,11293.0,905.0,34.0,0.13,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:46:17.461826,303.560818195343,0.7245000600814819,1.442300796508789,16401,21.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212088647680,5428441088,3.1,11000136704,56185468416,915553015996,15284280909839,1,0.1,0.925807509427775,12198.0,11293.0,905.0,34.0,0.1,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,5,2022-04-13T20:46:34.645187,317.2865676879883,0.7150000333786011,1.4863256216049194,17182,22.0,781,1649896795.3548703,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,2.4,2095.0760000000005,218788868096,212087877632,5428965376,3.1,11000136704,56185469952,915555244920,15284280962814,1,0.05,0.925807509427775,12198.0,11293.0,905.0,34.0,0.05,0.925807509427775,12198.0,11293.0,905.0,34.0
