workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax_dropout,1,2022-04-13T14:45:42.576736,3.2109692096710205,0.0975000038743019,2.3392722606658936,0,0.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,9.7,2194.842,186810937344,149087232000,36352094208,20.2,423108244992,247074395136,4111097760081,37338616214610,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,30.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,30.0
cifar10_jax_dropout,1,2022-04-13T14:46:06.956805,23.7115285396576,0.396200031042099,1.6610418558120728,781,1.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,9.9,2194.842,186810937344,148993134592,36445458432,20.2,423108261376,247074633728,4111325218359,37338617913105,1,0.04,0.9164257151645648,32510.0,29793.0,2717.0,30.0,0.04,0.9164257151645648,32510.0,29793.0,2717.0,30.0
cifar10_jax_dropout,1,2022-04-13T14:46:24.794258,37.92660808563232,0.4740000367164612,1.4462164640426636,1562,2.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.0,2194.842,186810937344,148971372544,36467859456,20.3,423108261376,247074633728,4111327651735,37338618115623,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,1,2022-04-13T14:46:42.269558,51.56336188316345,0.5268000364303589,1.3122756481170654,2343,3.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,9.8,2194.842,186810937344,148953899008,36486103040,20.3,423108261376,247074774528,4111330047537,37338618290526,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,1,2022-04-13T14:47:00.038092,65.4241259098053,0.5595000386238098,1.2286038398742676,3124,4.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.0,2194.842,186810937344,148940730368,36499402752,20.3,423108261376,247074776064,4111332470615,37338618490571,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,1,2022-04-13T14:47:18.935953,80.3650770187378,0.5826000571250916,1.1743379831314087,3905,5.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.0,2194.842,186810937344,148931268608,36507963392,20.3,423108261376,247074776064,4111334922303,37338618709963,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,1,2022-04-13T14:47:36.853243,94.50803232192992,0.6198000311851501,1.079619526863098,4686,6.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,9.9,2194.842,186810937344,148905254912,36533731328,20.3,423108261376,247074777600,4111337351839,37338618909366,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,1,2022-04-13T14:47:54.848119,108.7056529521942,0.6391000151634216,1.016307711601257,5467,7.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.0,2194.842,186810937344,148879372288,36559990784,20.3,423108261376,247074777600,4111339776295,37338619108740,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,1,2022-04-13T14:48:13.059504,123.1105020046234,0.6573000550270081,0.9624042510986328,6248,8.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.0,2194.842,186810937344,148873158656,36565188608,20.3,423108261376,247074777600,4111342216343,37338619315033,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,1,2022-04-13T14:48:32.139352,138.1997935771942,0.671500027179718,0.9124643802642822,7029,9.0,781,1649875527.459252,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,10.9,2194.842,186810937344,148882325504,36553789440,20.3,423108261376,247074783232,4111344726643,37338619579030,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
